Rk,Player,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.,
,Juwan Johnson,13,Mon,2,2,9/18/2023,27-005,NOR,@,CAR,W 20-17,3,2,13,6.5,0,66.7,4.3,,66.7,TE,
,Brevin Jordan,13,Sun,3,3,9/24/2023,23-070,HOU,@,JAX,W 37-17,2,2,13,6.5,1,100,6.5,1,100,TE,
,Jordan Mason,13,Sun,4,4,10/1/2023,24-130,SFO,,ARI,W 35-16,1,1,13,13,0,100,13,1,100,RB,
,John Metchie,13,Sun,3,3,9/24/2023,23-068,HOU,@,JAX,W 37-17,2,2,13,6.5,0,100,6.5,1,50,WR,
,Joe Mixon,13,Sun,5,5,10/8/2023,27-076,CIN,@,ARI,W 34-20,4,4,13,3.3,0,100,3.3,0,50,RB,
,Raheem Mostert,13,Sun,1,1,9/10/2023,31-154,MIA,@,LAC,W 36-34,2,2,13,6.5,0,100,6.5,0,0,RB,
,Raheem Mostert,13,Sun,5,5,10/8/2023,31-182,MIA,,NYG,W 31-16,2,2,13,6.5,0,100,6.5,1,100,RB,
,Josh Oliver,13,Thu,2,2,9/14/2023,26-177,MIN,@,PHI,L 28-34,3,2,13,6.5,0,66.7,4.3,1,33.3,TE,
,Cade Otton,13,Sun,4,4,10/1/2023,24-169,TAM,@,NOR,W 26-9,4,3,13,4.3,1,75,3.3,1,25,TE,
,Josh Palmer,13,Sun,2,2,9/17/2023,23-360,LAC,@,TEN,L 24-27 (OT),5,3,13,4.3,0,60,2.6,,20,WR,
,Tony Pollard,13,Sun,4,4,10/1/2023,26-154,DAL,,NWE,W 38-3,3,3,13,4.3,0,100,4.3,1,100,RB,
,Miles Sanders,13,Sun,4,4,10/1/2023,26-153,CAR,,MIN,L 13-21,3,3,13,4.3,0,100,4.3,1,33.3,RB,
,Sterling Shepard,13,Sun,5,5,10/8/2023,30-240,NYG,@,MIA,L 16-31,2,1,13,13,0,50,6.5,1,50,WR,
,Jaxon Smith-Njigba,13,Sun,1,1,9/10/2023,21-208,SEA,,LAR,L 13-30,5,3,13,4.3,0,60,2.6,1,20,WR,
,Courtland Sutton,13,Sun,5,5,10/8/2023,27-363,DEN,,NYJ,L 21-31,3,1,13,13,0,33.3,4.3,1,33.3,WR,
,Marquez Valdes-Scantling,13,Sun,2,2,9/17/2023,28-342,KAN,@,JAX,W 17-9,3,2,13,6.5,0,66.7,4.3,,33.3,WR,
,Jordan Akins,12,Sun,1,1,9/10/2023,31-144,CLE,,CIN,W 24-3,1,1,12,12,0,100,12,1,100,TE,
,Saquon Barkley,12,Sun,1,1,9/10/2023,26-213,NYG,,DAL,L 0-40,4,3,12,4,0,75,3,2,50,RB,
,John Bates,12,Sun,3,3,9/24/2023,25-322,WAS,,BUF,L 3-37,2,2,12,6,0,100,6,,100,TE,
,Blake Bell,12,Thu,1,1,9/7/2023,32-031,KAN,,DET,L 20-21,3,2,12,6,1,66.7,4,1,66.7,TE,
,Michael Carter,12,Mon,1,1,9/11/2023,24-127,NYJ,,BUF,W 22-16 (OT),2,2,12,6,0,100,6,,0,RB,
,Michael Carter,12,Sun,4,4,10/1/2023,24-147,NYJ,,KAN,L 20-23,3,2,12,6,0,66.7,4,1,33.3,RB,
,Randall Cobb,12,Sun,3,3,9/24/2023,33-033,NYJ,,NWE,L 10-15,2,1,12,12,0,50,6,1,50,WR,
,Emari Demercado,12,Sun,5,5,10/8/2023,24-261,ARI,,CIN,L 20-34,3,1,12,12,0,33.3,4,1,33.3,RB,
,Jake Funk,12,Sun,1,1,9/10/2023,25-242,IND,,JAX,L 21-31,1,1,12,12,0,100,12,1,100,RB,
,Mike Gesicki,12,Sun,4,4,10/1/2023,27-363,NWE,@,DAL,L 3-38,3,1,12,12,0,33.3,4,1,33.3,TE,
,Tyler Higbee,12,Sun,2,2,9/17/2023,30-259,LAR,,SFO,L 23-30,7,3,12,4,0,42.9,1.7,,28.6,TE,
,Justice Hill,12,Sun,2,2,9/17/2023,25-307,BAL,@,CIN,W 27-24,3,3,12,4,0,100,4,0,66.7,RB,
,Chuba Hubbard,12,Sun,4,4,10/1/2023,24-112,CAR,,MIN,L 13-21,2,2,12,6,0,100,6,1,50,RB,
,Brandon Johnson,12,Sun,3,3,9/24/2023,25-060,DEN,@,MIA,L 20-70,3,2,12,6,0,66.7,4,1,33.3,WR,
,Jakob Johnson,12,Sun,4,4,10/1/2023,28-290,LVR,@,LAC,L 17-24,2,1,12,12,0,50,6,,50,FB,
